Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"Account Director, Phew! Inc",IT Services,11-50 Employees,"Pleasanton, California",Verified,iOS Mobile App Dev & Backend Dev for Vet Platform,Web Development,"$50,000 to $199,999",Jan. 2016 - Aug. 2017,"Diffco built two iOS mobile apps for a pet healthcare platform, for vets and pets parents. Its features include examination forms, reminders, and more. They also developed the client's backend.","""Their extensive technical knowledge and expertise in mobile app development were very impressive."""
"Marketing Director, Aviation Company",Information technology,1-10 Employees,"Torrance, California",Verified,Community Online Platform for Aviation Tech Company,Custom Software Development,"$10,000 to $49,999",Dec. 2015 - Sep. 2017,"Diffco created an online platform for an aviation tech company. The team developed the web-based application, ERP, and backend. This solution allows end-users to book, schedule, pay, and more.","""We were impressed by their market knowledge and product development skills."""
"Co-Founder, L.E. Solutions",IT Services,1-10 Employees,"San Francisco, California",Verified,Mobile App Development for Law Enforcer Mobile Ecosystem,Mobile App Development,"$50,000 to $199,999",Feb. 2016 - Ongoing,"A mobile eco-system for law enforcement partnered with Diffco in order to develop several mobile apps including a field sobriety test, a field investigation card, and pill detection test.","""While working with Diffco, I felt like they were a part of our own team."""
"CEO, QUEST ROOM","Arts, Entertainment & Music",51-200 Employees,"Los Angeles, California",Verified,Web Dev & ERP Platform for Entertainment Company,Custom Software Development,"$200,000 to $999,999",May - Nov. 2016,Diffco provided website and custom software development for an entertainment company. The team handled the integration of an ERP platform that includes a booking system and more business monitoring features.,"""The solutions they developed work very well and are exactly what we were looking for."""
"CEO, AI Voice Platform",IT Services,11-50 Employees,"San Francisco, California",Verified,Mobile SDK Development for AI Voice Platform,Custom Software Development,"$50,000 to $199,999",June 2019 - Ongoing,An AI voice platform needed to develop a mobile partner SDK and hired Diffco to provide the necessary services. The goal was to make it easier for clients to integrate the platform into their products.,"""We were impressed by Diffco's approach to the development process and how they engineer new solutions."""
"CEO, Devmind",IT Services,11-50 Employees,"Tallinn, Estonia",Verified,Digital Content Distribution Platform for Software Company,Custom Software Development,"$50,000 to $199,999",June 2019 - Ongoing,"A software development, consultancy, and integration company needed to develop backend software for a digital content distribution platform for a client. They hired Diffco to provide the necessary services.","""They have a perfectly organized business process and high-quality standards."""
"CEO, Fredd Inc.",IT Services,1-10 Employees,"San Francisco, California",Verified,Mobile App Dev for AI-Enhanced Mobile Application,Mobile App Development,"$200,000 to $999,999",Mar. 2018 - Ongoing,Diffco provided mobile app development for an AI-enhanced mobile application for foodies. The team created an MVP project to help the company with its launch.,"""Diffco team is always ready to help; they share their ideas and suggest solutions of how to solve your task."""
"COO, Simiotics",IT Services,1-10 Employees,United States,Verified,Data Source Integration for MLOps Platform,Custom Software Development,"$10,000 to $49,999",Sep. - Dec. 2019,Diffco provided custom software development for an MLOps platform. The team built integration of modules for the client which required various AI APIs.,"""They provided us with many valuable feedback on how to improve our product development strategy."""
"CEO & Founder, CloviTek Inc",Consumer products,1-10 Employees,"Salt Lake City, Utah",Verified,App Dev for Electrical & Electronic Manufacturing Company,Mobile App Development,"$10,000 to $49,999",Jan. 2017 - Ongoing,"Diffco developed an iOS and Android app prototype that decodes audio signals from TV, allowing users to hear any TV within one network area on headphones. They also developed a Shopify website.","""They address issues quickly and communicate the outcomes to our team, resolving them if needed."""
"CTO, SRG Community",IT Services,1-10 Employees,"San Francisco, California",Verified,Technical Development for Gaming Community-Driven Mobile App,Development,"$200,000 to $999,999",May 2018 - Ongoing,"Diffco is developing a gaming firm's technical infrastructure from scratch, building a customized blockchain solution and an admin panel. They use numerous frameworks for mobile and web development.","""They did a very good job at management."""
"CEO, Digital Development Firm",IT Services,11-50 Employees,Russia,Verified,Back-end App Development for Digital Development Agency,Mobile App Development,"$10,000 to $49,999",,"Diffco US provided back-end development services, analytics, security checks, and upgrades for the client’s existing architecture as they created their mobile app.","""There was confidence that we don't need to be triple check their work. We never had to redo anything. Diffco US is very reliable."""
